id,volume,part,chapter,title,printed_start,printed_end,pdf_start,pdf_end,pdf_file,notebook,artifact_key
v1-c12,1,Cycles and Cycle Classes,12,Deligne-Beilinson Cohomology and the Abel-Jacobi Map,290,314,302,326,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-04-cycles-and-cycle-classes/chapter-12-deligne-beilinson-cohomology-and-the-abel-jacobi-map/12-deligne-beilinson-cohomology-and-the-abel-jacobi-map.ipynb,volume-01/v1-c12
v2-c00,2,Orientation,0,Introduction,1,16,13,28,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-00-orientation/chapter-00-introduction/00-introduction.ipynb,volume-02/v2-c00
v2-c01,2,The Topology of Algebraic Varieties,1,The Lefschetz Theorem on Hyperplane Sections,19,40,31,52,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-01-topology-of-algebraic-varieties/chapter-01-the-lefschetz-theorem-on-hyperplane-sections/01-the-lefschetz-theorem-on-hyperplane-sections.ipynb,volume-02/v2-c01
v2-c02,2,The Topology of Algebraic Varieties,2,Lefschetz Pencils,41,66,53,78,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-01-topology-of-algebraic-varieties/chapter-02-lefschetz-pencils/02-lefschetz-pencils.ipynb,volume-02/v2-c02
v2-c03,2,The Topology of Algebraic Varieties,3,Monodromy,67,97,79,109,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-01-topology-of-algebraic-varieties/chapter-03-monodromy/03-monodromy.ipynb,volume-02/v2-c03
v2-c04,2,The Topology of Algebraic Varieties,4,The Leray Spectral Sequence,98,126,110,138,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-01-topology-of-algebraic-varieties/chapter-04-the-leray-spectral-sequence/04-the-leray-spectral-sequence.ipynb,volume-02/v2-c04
v2-c05,2,Variations of Hodge Structure,5,Transversality and Applications,129,155,141,167,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-02-variations-of-hodge-structure/chapter-05-transversality-and-applications/05-transversality-and-applications.ipynb,volume-02/v2-c05
v2-c06,2,Variations of Hodge Structure,6,Hodge Filtration of Hypersurfaces,156,187,168,199,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-02-variations-of-hodge-structure/chapter-06-hodge-filtration-of-hypersurfaces/06-hodge-filtration-of-hypersurfaces.ipynb,volume-02/v2-c06
v2-c07,2,Variations of Hodge Structure,7,Normal Functions and Infinitesimal Invariants,188,214,200,226,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-02-variations-of-hodge-structure/chapter-07-normal-functions-and-infinitesimal-invariants/07-normal-functions-and-infinitesimal-invariants.ipynb,volume-02/v2-c07
v2-c08,2,Variations of Hodge Structure,8,Nori's Work,215,242,227,254,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-02-variations-of-hodge-structure/chapter-08-noris-work/08-noris-work.ipynb,volume-02/v2-c08
v2-c09,2,Algebraic Cycles,9,Chow Groups,245,277,257,289,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-03-algebraic-cycles/chapter-09-chow-groups/09-chow-groups.ipynb,volume-02/v2-c09
v2-c10,2,Algebraic Cycles,10,Mumford's Theorem and its Generalisations,278,306,290,318,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-03-algebraic-cycles/chapter-10-mumfords-theorem-and-its-generalisations/10-mumfords-theorem-and-its-generalisations.ipynb,volume-02/v2-c10
v2-c11,2,Algebraic Cycles,11,The Bloch Conjecture and its Generalisations,307,342,319,354,Hodge Theory and Complex Algebraic Geometry II.pdf,volume-02-applications/part-03-algebraic-cycles/chapter-11-the-bloch-conjecture-and-its-generalisations/11-the-bloch-conjecture-and-its-generalisations.ipynb,volume-02/v2-c11
