x,y,status,crossings,inside_by_parity,inside_by_shapely,covered_by_shapely
3.85,0.55,inside,1,True,True,True
4.15,0.55,inside,1,True,True,True
4.45,0.55,inside,1,True,True,True
4.75,0.55,inside,1,True,True,True
5.05,0.55,outside,0,False,False,False
5.35,0.55,outside,0,False,False,False
-0.35,0.8167,outside,2,False,False,False
-0.05,0.8167,outside,2,False,False,False
0.25,0.8167,inside,1,True,True,True
0.55,0.8167,inside,1,True,True,True
0.85,0.8167,inside,1,True,True,True
1.15,0.8167,inside,1,True,True,True
1.45,0.8167,inside,1,True,True,True
1.75,0.8167,inside,1,True,True,True
2.05,0.8167,inside,1,True,True,True
2.35,0.8167,inside,1,True,True,True
2.65,0.8167,inside,1,True,True,True
2.95,0.8167,inside,1,True,True,True
3.25,0.8167,inside,1,True,True,True
3.55,0.8167,inside,1,True,True,True
3.85,0.8167,inside,1,True,True,True
4.15,0.8167,inside,1,True,True,True
4.45,0.8167,inside,1,True,True,True
4.75,0.8167,inside,1,True,True,True
5.05,0.8167,outside,0,False,False,False
5.35,0.8167,outside,0,False,False,False
-0.35,1.0833,outside,2,False,False,False
-0.05,1.0833,outside,2,False,False,False
0.25,1.0833,inside,1,True,True,True
0.55,1.0833,inside,1,True,True,True
0.85,1.0833,inside,1,True,True,True
1.15,1.0833,inside,1,True,True,True
1.45,1.0833,inside,1,True,True,True
1.75,1.0833,inside,1,True,True,True
2.05,1.0833,inside,1,True,True,True
2.35,1.0833,inside,1,True,True,True
2.65,1.0833,inside,1,True,True,True
2.95,1.0833,inside,1,True,True,True
3.25,1.0833,inside,1,True,True,True
3.55,1.0833,outside,0,False,False,False
3.85,1.0833,outside,0,False,False,False
4.15,1.0833,outside,0,False,False,False
4.45,1.0833,outside,0,False,False,False
4.75,1.0833,outside,0,False,False,False
5.05,1.0833,outside,0,False,False,False
5.35,1.0833,outside,0,False,False,False
-0.35,1.35,outside,2,False,False,False
-0.05,1.35,outside,2,False,False,False
0.25,1.35,inside,1,True,True,True
0.55,1.35,inside,1,True,True,True
0.85,1.35,inside,1,True,True,True
1.15,1.35,inside,1,True,True,True
1.45,1.35,inside,1,True,True,True
1.75,1.35,inside,1,True,True,True
2.05,1.35,inside,1,True,True,True
2.35,1.35,inside,1,True,True,True
2.65,1.35,inside,1,True,True,True
2.95,1.35,inside,1,True,True,True
3.25,1.35,inside,1,True,True,True
3.55,1.35,outside,0,False,False,False
3.85,1.35,outside,0,False,False,False
4.15,1.35,outside,0,False,False,False
4.45,1.35,outside,0,False,False,False
4.75,1.35,outside,0,False,False,False
5.05,1.35,outside,0,False,False,False
5.35,1.35,outside,0,False,False,False
-0.35,1.6167,outside,2,False,False,False
-0.05,1.6167,outside,2,False,False,False
0.25,1.6167,inside,1,True,True,True
0.55,1.6167,inside,1,True,True,True
0.85,1.6167,inside,1,True,True,True
1.15,1.6167,inside,1,True,True,True
1.45,1.6167,inside,1,True,True,True
1.75,1.6167,inside,1,True,True,True
2.05,1.6167,inside,1,True,True,True
2.35,1.6167,inside,1,True,True,True
2.65,1.6167,inside,1,True,True,True
2.95,1.6167,inside,1,True,True,True
3.25,1.6167,inside,1,True,True,True
3.55,1.6167,outside,0,False,False,False
3.85,1.6167,outside,0,False,False,False
4.15,1.6167,outside,0,False,False,False
4.45,1.6167,outside,0,False,False,False
4.75,1.6167,outside,0,False,False,False
5.05,1.6167,outside,0,False,False,False
5.35,1.6167,outside,0,False,False,False
-0.35,1.8833,outside,2,False,False,False
-0.05,1.8833,outside,2,False,False,False
0.25,1.8833,outside,2,False,False,False
0.55,1.8833,outside,2,False,False,False
0.85,1.8833,outside,2,False,False,False
1.15,1.8833,outside,2,False,False,False
1.45,1.8833,outside,2,False,False,False
1.75,1.8833,inside,1,True,True,True
2.05,1.8833,inside,1,True,True,True
2.35,1.8833,inside,1,True,True,True
2.65,1.8833,inside,1,True,True,True
2.95,1.8833,inside,1,True,True,True
3.25,1.8833,inside,1,True,True,True
3.55,1.8833,outside,0,False,False,False
3.85,1.8833,outside,0,False,False,False
4.15,1.8833,outside,0,False,False,False
4.45,1.8833,outside,0,False,False,False
4.75,1.8833,outside,0,False,False,False
5.05,1.8833,outside,0,False,False,False
5.35,1.8833,outside,0,False,False,False
-0.35,2.15,outside,2,False,False,False
-0.05,2.15,outside,2,False,False,False
0.25,2.15,outside,2,False,False,False
0.55,2.15,outside,2,False,False,False
0.85,2.15,outside,2,False,False,False
1.15,2.15,outside,2,False,False,False
1.45,2.15,inside,1,True,True,True
1.75,2.15,inside,1,True,True,True
2.05,2.15,inside,1,True,True,True
2.35,2.15,inside,1,True,True,True
2.65,2.15,inside,1,True,True,True
2.95,2.15,inside,1,True,True,True
3.25,2.15,inside,1,True,True,True
3.55,2.15,inside,1,True,True,True
3.85,2.15,inside,1,True,True,True
4.15,2.15,boundary,,False,False,False
4.45,2.15,outside,0,False,False,False
4.75,2.15,outside,0,False,False,False
5.05,2.15,outside,0,False,False,False
5.35,2.15,outside,0,False,False,False
-0.35,2.4167,outside,2,False,False,False
-0.05,2.4167,outside,2,False,False,False
0.25,2.4167,outside,2,False,False,False
0.55,2.4167,outside,2,False,False,False
0.85,2.4167,outside,2,False,False,False
1.15,2.4167,outside,2,False,False,False
1.45,2.4167,inside,1,True,True,True
1.75,2.4167,inside,1,True,True,True
2.05,2.4167,inside,1,True,True,True
2.35,2.4167,inside,1,True,True,True
2.65,2.4167,inside,1,True,True,True
2.95,2.4167,inside,1,True,True,True
3.25,2.4167,inside,1,True,True,True
3.55,2.4167,inside,1,True,True,True
3.85,2.4167,inside,1,True,True,True
4.15,2.4167,inside,1,True,True,True
4.45,2.4167,outside,0,False,False,False
4.75,2.4167,outside,0,False,False,False
5.05,2.4167,outside,0,False,False,False
5.35,2.4167,outside,0,False,False,False
-0.35,2.6833,outside,2,False,False,False
-0.05,2.6833,outside,2,False,False,False
0.25,2.6833,outside,2,False,False,False
0.55,2.6833,outside,2,False,False,False
0.85,2.6833,outside,2,False,False,False
1.15,2.6833,outside,2,False,False,False
1.45,2.6833,inside,1,True,True,True
1.75,2.6833,inside,1,True,True,True
2.05,2.6833,inside,1,True,True,True
2.35,2.6833,inside,1,True,True,True
2.65,2.6833,inside,1,True,True,True
2.95,2.6833,inside,1,True,True,True
3.25,2.6833,inside,1,True,True,True
3.55,2.6833,inside,1,True,True,True
3.85,2.6833,inside,1,True,True,True
4.15,2.6833,outside,0,False,False,False
4.45,2.6833,outside,0,False,False,False
4.75,2.6833,outside,0,False,False,False
5.05,2.6833,outside,0,False,False,False
5.35,2.6833,outside,0,False,False,False
-0.35,2.95,outside,2,False,False,False
-0.05,2.95,outside,2,False,False,False
0.25,2.95,outside,2,False,False,False
0.55,2.95,outside,2,False,False,False
0.85,2.95,outside,2,False,False,False
1.15,2.95,outside,2,False,False,False
1.45,2.95,inside,1,True,True,True
1.75,2.95,inside,1,True,True,True
2.05,2.95,inside,1,True,True,True
2.35,2.95,inside,1,True,True,True
2.65,2.95,inside,1,True,True,True
2.95,2.95,inside,1,True,True,True
3.25,2.95,inside,1,True,True,True
3.55,2.95,inside,1,True,True,True
3.85,2.95,outside,0,False,False,False
4.15,2.95,outside,0,False,False,False
4.45,2.95,outside,0,False,False,False
4.75,2.95,outside,0,False,False,False
5.05,2.95,outside,0,False,False,False
5.35,2.95,outside,0,False,False,False
-0.35,3.2167,outside,2,False,False,False
-0.05,3.2167,outside,2,False,False,False
0.25,3.2167,outside,2,False,False,False
0.55,3.2167,outside,2,False,False,False
0.85,3.2167,outside,2,False,False,False
1.15,3.2167,outside,2,False,False,False
1.45,3.2167,inside,1,True,True,True
1.75,3.2167,inside,1,True,True,True
2.05,3.2167,inside,1,True,True,True
2.35,3.2167,inside,1,True,True,True
2.65,3.2167,inside,1,True,True,True
2.95,3.2167,inside,1,True,True,True
3.25,3.2167,inside,1,True,True,True
3.55,3.2167,outside,0,False,False,False
3.85,3.2167,outside,0,False,False,False
4.15,3.2167,outside,0,False,False,False
4.45,3.2167,outside,0,False,False,False
4.75,3.2167,outside,0,False,False,False
5.05,3.2167,outside,0,False,False,False
5.35,3.2167,outside,0,False,False,False
-0.35,3.4833,outside,0,False,False,False
-0.05,3.4833,outside,0,False,False,False
0.25,3.4833,outside,0,False,False,False
0.55,3.4833,outside,0,False,False,False
0.85,3.4833,outside,0,False,False,False
1.15,3.4833,outside,0,False,False,False
1.45,3.4833,outside,0,False,False,False
1.75,3.4833,outside,0,False,False,False
2.05,3.4833,outside,0,False,False,False
2.35,3.4833,outside,0,False,False,False
2.65,3.4833,outside,0,False,False,False
2.95,3.4833,outside,0,False,False,False
3.25,3.4833,outside,0,False,False,False
3.55,3.4833,outside,0,False,False,False
3.85,3.4833,outside,0,False,False,False
4.15,3.4833,outside,0,False,False,False
4.45,3.4833,outside,0,False,False,False
4.75,3.4833,outside,0,False,False,False
5.05,3.4833,outside,0,False,False,False
5.35,3.4833,outside,0,False,False,False
-0.35,3.75,outside,0,False,False,False
-0.05,3.75,outside,0,False,False,False
0.25,3.75,outside,0,False,False,False
0.55,3.75,outside,0,False,False,False
0.85,3.75,outside,0,False,False,False
1.15,3.75,outside,0,False,False,False
1.45,3.75,outside,0,False,False,False
1.75,3.75,outside,0,False,False,False
2.05,3.75,outside,0,False,False,False
2.35,3.75,outside,0,False,False,False
2.65,3.75,outside,0,False,False,False
2.95,3.75,outside,0,False,False,False
3.25,3.75,outside,0,False,False,False
3.55,3.75,outside,0,False,False,False
3.85,3.75,outside,0,False,False,False
4.15,3.75,outside,0,False,False,False
4.45,3.75,outside,0,False,False,False
4.75,3.75,outside,0,False,False,False
5.05,3.75,outside,0,False,False,False
5.35,3.75,outside,0,False,False,False
